student_id,first_name,last_name,age,email,country,postal_code,favorite_color,enrollment_date,gpa
59,Joyann,MacMeeking,20,jmacmeeking1m@smugmug.com,Indonesia,,red,1/11/2021,2.43
60,Allayne,Jakubowski,18,ajakubowski1n@macromedia.com,United States,60630,red,4/23/2021,3.59
61,Orran,Cosgrove,25,ocosgrove1o@forbes.com,Thailand,90160,red,12/28/2020,3.89
62,Erny,Papaminas,25,epapaminas1p@boston.com,Ivory Coast,,red,10/30/2021,1.51
63,Angel,Bustard,23,abustard1q@elpais.com,France,24212 CEDEX,green,4/20/2021,1.48
64,Leeland,McCusker,25,lmccusker1r@globo.com,Philippines,9514,green,12/7/2020,3.54
65,Noam,Paradise,18,nparadise1s@hhs.gov,United States,96850,green,4/6/2021,0.09
66,Nanette,Ferentz,20,nferentz1t@whitehouse.gov,Poland,33-140,blue,4/6/2020,1.5
67,Hatti,Lafont,21,hlafont1u@huffingtonpost.com,Iraq,,blue,10/17/2020,0.07
68,Rianon,Stribling,24,rstribling1v@archive.org,Greece,,blue,5/5/2021,2.21
69,Melvin,Bachellier,24,mbachellier1w@wordpress.org,Bulgaria,4939,blue,1/30/2020,1.38
70,Edee,Artrick,18,eartrick1x@shinystat.com,Canada,S6J,green,5/6/2021,1.53
71,Ashby,Blazy,20,ablazy1y@patch.com,Thailand,80140,red,3/7/2021,1.9
72,Kit,Ellens,24,kellens1z@icio.us,Jamaica,,red,8/22/2020,3.14
73,Elizabet,Kuhlen,19,ekuhlen20@imgur.com,Russia,361513,red,9/13/2021,3.05
74,Teri,Flye,23,tflye21@pagesperso-orange.fr,Philippines,2508,blue,1/15/2021,2.73
75,Kip,Mulvany,22,kmulvany22@unblog.fr,Mexico,54414,blue,2/19/2021,0.7
76,Ashely,Bispo,18,abispo23@shutterfly.com,Indonesia,,green,1/31/2020,3.24
77,Chrisy,Farrer,18,cfarrer24@blogtalkradio.com,Poland,05-509,blue,10/13/2021,2.21
78,Pris,Pinney,18,ppinney25@amazon.co.uk,Greece,,red,2/12/2021,3.45
79,Edyth,McKim,24,emckim26@netlog.com,Russia,655735,red,10/29/2020,1.97
80,Kassi,Hinken,18,khinken27@accuweather.com,Brazil,89136-000,red,11/18/2021,0.29
81,Brnaby,Nunn,25,bnunn28@twitter.com,France,33394 CEDEX,blue,3/25/2021,1.7
82,Jacquelynn,Takle,25,jtakle29@nps.gov,Argentina,2823,red,11/14/2021,0.28
83,Courtnay,Trevallion,22,ctrevallion2a@utexas.edu,China,,blue,4/20/2021,1.84
84,Hillary,Haith,23,hhaith2b@deliciousdays.com,Malaysia,46781,blue,5/3/2021,3.55
85,Sada,Dike,22,sdike2c@sakura.ne.jp,Russia,352195,green,10/26/2020,1.31
86,Bernhard,Rembrandt,24,brembrandt2d@berkeley.edu,Russia,668134,green,3/30/2020,2.56
87,Annie,Bownass,20,abownass2e@live.com,Indonesia,,blue,2/26/2020,3.29
88,Frederica,McIlheran,22,fmcilheran2f@paginegialle.it,Russia,184653,green,11/1/2021,0.36
89,Alexei,Daouze,24,adaouze2g@vistaprint.com,Czech Republic,586 01,green,7/31/2020,1.43
90,Sandra,Franses,22,sfranses2h@washingtonpost.com,Morocco,,green,12/27/2020,2.33
91,Valaria,Vaines,20,vvaines2i@house.gov,Venezuela,,red,12/18/2021,3.85
92,Barry,Greenin,22,bgreenin2j@1und1.de,Indonesia,,green,3/10/2021,1.32
93,Reube,Prowting,25,rprowting2k@bluehost.com,China,,green,8/14/2021,0.07
94,Johann,Fairn,24,jfairn2l@yellowpages.com,Colombia,763547,blue,4/7/2020,1.02
95,Lillis,MacElharge,22,lmacelharge2m@vimeo.com,Albania,,blue,3/21/2021,3.63
96,Sean,Rudeyeard,24,srudeyeard2n@wordpress.com,China,,blue,6/3/2020,3.15
97,Thain,Hanssmann,19,thanssmann2o@upenn.edu,Uzbekistan,,blue,2/16/2021,3.26
98,Craggie,Duplain,24,cduplain2p@g.co,Tunisia,,red,4/11/2021,2.0
99,Janeczka,Turfus,18,jturfus2q@unc.edu,Indonesia,,red,1/30/2020,2.72
100,Hedwig,Sollis,21,hsollis2r@ycombinator.com,Morocco,,red,4/13/2021,1.75
